id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA ticket P1: Phản hồi ban đầu 15 phút kể từ khi ticket được tạo; Xử lý và khắc phục 4 giờ. [1],Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,All information in the answer regarding SLA ticket P1's initial response and resolution time is directly and accurately extracted from the provided context.,5,"Câu trả lời cung cấp đầy đủ và trực tiếp thời gian SLA cho ticket P1, bao gồm cả thời gian phản hồi ban đầu và thời gian xử lý/khắc phục, đúng như câu hỏi yêu cầu.",5,Retrieved: 1/1 expected sources,5,"Model Answer bao gồm đủ tất cả điểm quan trọng trong expected_answer. Nó đề cập đến cả thời gian phản hồi ban đầu (15 phút) và thời gian xử lý/khắc phục (4 giờ), tương tự như expected_answer.",variant_hybrid_rerank
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,"Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1, 3].",Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"Mọi thông tin trong câu trả lời đều được trích dẫn trực tiếp từ ngữ cảnh. Cụ thể, ngữ cảnh nêu rõ: 'Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng'.",5,Câu trả lời trực tiếp và đầy đủ số ngày khách hàng có thể yêu cầu hoàn tiền (7 ngày làm việc) và cung cấp thêm chi tiết quan trọng về thời điểm bắt đầu tính (kể từ thời điểm xác nhận đơn hàng).,5,Retrieved: 1/1 expected sources,5,"Model Answer bao gồm đầy đủ tất cả các thông tin quan trọng có trong Expected Answer. Phần [1, 3] trong Model Answer là thông tin bổ sung (có thể là trích dẫn) chứ không phải là thiếu sót.",variant_hybrid_rerank
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,Thông tin trong câu trả lời hoàn toàn khớp với thông tin trong ngữ cảnh về phê duyệt cho Level 3.,5,"Câu trả lời trực tiếp và đầy đủ các đối tượng cần phê duyệt để cấp quyền Level 3, đúng trọng tâm câu hỏi.",5,Retrieved: 1/1 expected sources,4,"Model Answer thiếu chi tiết mô tả '(Elevated Access)' cho Level 3, một chi tiết nhỏ có trong Expected Answer. Tuy nhiên, tất cả các bên phê duyệt quan trọng đều được liệt kê đầy đủ.",variant_hybrid_rerank
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Không, sản phẩm kỹ thuật số (như license key, subscription) thuộc danh mục ngoại lệ không được hoàn tiền [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,"Mọi thông tin trong câu trả lời đều được trích dẫn trực tiếp và chính xác từ ngữ cảnh đã cho. Ngữ cảnh rõ ràng nêu rằng 'Sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription)' là một 'Ngoại lệ không được hoàn tiền'.",5,"Câu trả lời trực tiếp và đầy đủ cho câu hỏi về việc hoàn tiền sản phẩm kỹ thuật số, đồng thời cung cấp ví dụ minh họa.",5,Retrieved: 1/1 expected sources,4,Model Answer thiếu thông tin về việc chính sách hoàn tiền là cơ sở cho việc không hoàn tiền sản phẩm kỹ thuật số. Đây là một chi tiết nhỏ nhưng có trong Expected Answer.,variant_hybrid_rerank
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,Mọi thông tin trong câu trả lời đều được trích dẫn trực tiếp và chính xác từ ngữ cảnh đã cho.,5,"Câu trả lời trực tiếp và đầy đủ số lần đăng nhập sai dẫn đến khóa tài khoản, hoàn toàn khớp với câu hỏi.",5,Retrieved: 1/1 expected sources,5,Model Answer bao gồm đủ tất cả điểm quan trọng trong expected_answer. Cả hai câu trả lời đều nêu rõ tài khoản bị khóa sau '5 lần đăng nhập sai liên tiếp'.,variant_hybrid_rerank
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra theo hai cách:
1.  **Escalation chung**: Tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút [2].
2.  **Escalation khi cần thay đổi quyền hệ thống khẩn cấp**: On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền bị thu hồi tự động, và mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit [1].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"Mọi thông tin trong câu trả lời đều được trích xuất trực tiếp và chính xác từ ngữ cảnh đã cho. Câu trả lời phân loại rõ ràng hai loại escalation liên quan đến sự cố P1, cả hai đều được mô tả chi tiết trong ngữ cảnh.",5,"Câu trả lời trực tiếp và đầy đủ mô tả hai hình thức escalation chính trong sự cố P1: escalation chung tự động và escalation khi cần thay đổi quyền hệ thống khẩn cấp, bao gồm các điều kiện và quy trình cụ thể cho từng trường hợp.",5,Retrieved: 1/1 expected sources,5,No reasoning provided,variant_hybrid_rerank
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty, bao gồm các bước phê duyệt, là tài liệu `it/access-control-sop.md` [1, 3].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,2,"The answer correctly states that the document regulates the process of granting access to internal company systems, including approval steps, which is grounded in the context. However, the specific document name `it/access-control-sop.md` and the references `[1, 3]` are not mentioned anywhere in the provided context. This constitutes a significant ungrounded detail.",5,"Câu trả lời trực tiếp xác định tài liệu liên quan đến quy trình cấp phép truy cập hệ thống và các bước phê duyệt, phù hợp với khái niệm 'Approval Matrix'.",5,Retrieved: 1/1 expected sources,4,"The model answer correctly identifies the current document ('access-control-sop.md') and describes its purpose, which aligns with the concept of an 'Approval Matrix'. However, it misses the explicit detail from the expected answer that the document 'Approval Matrix for System Access' has been *renamed* to 'Access Control SOP'. It provides the new name but doesn't explicitly link it as a rename of the document mentioned in the question.",variant_hybrid_rerank
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên sau thời gian thử việc có thể làm remote tối đa 2 ngày/tuần [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"The answer is fully grounded in the provided context. The phrase 'thời gian thử việc' is synonymous with 'probation period' in this context, and the rest of the information matches exactly.",5,"Câu trả lời trực tiếp và đầy đủ thông tin về số ngày làm remote tối đa mỗi tuần, bao gồm cả điều kiện áp dụng.",5,Retrieved: 1/1 expected sources,4,No reasoning provided,variant_hybrid_rerank
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"Tôi không biết. Ngữ cảnh được cung cấp không chứa thông tin về lỗi ""ERR-403-AUTH"" hoặc cách xử lý lỗi này.","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,"Câu trả lời khẳng định rằng ngữ cảnh không chứa thông tin về lỗi 'ERR-403-AUTH'. Kiểm tra ngữ cảnh cho thấy thông tin này hoàn toàn không có, do đó câu trả lời hoàn toàn trung thực với ngữ cảnh được cung cấp.",1,"Câu trả lời thẳng thắn thừa nhận không biết và không có thông tin trong ngữ cảnh để trả lời câu hỏi, do đó không cung cấp bất kỳ thông tin nào về lỗi hoặc cách xử lý. Điều này khớp với tiêu chí 'Không trả lời câu hỏi' (điểm 1).",,No expected sources,3,Model Answer thiếu thông tin quan trọng về việc đây có thể là lỗi liên quan đến xác thực (authentication) và khuyến nghị liên hệ IT Helpdesk. Model Answer chỉ dừng lại ở việc không tìm thấy thông tin.,variant_hybrid_rerank
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Không, không có chính sách đặc biệt nào được tìm thấy trong ngữ cảnh cho việc hoàn tiền khẩn cấp cho khách hàng VIP [1, 2]. Quy trình hoàn tiền tiêu chuẩn áp dụng khi sản phẩm bị lỗi do nhà sản xuất, yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng, và đơn hàng chưa được sử dụng hoặc chưa bị mở seal [1].","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,"Mọi thông tin trong câu trả lời đều được tìm thấy hoặc được suy luận chính xác từ ngữ cảnh. Ngữ cảnh không đề cập đến chính sách hoàn tiền khẩn cấp cho khách hàng VIP, và câu trả lời đã nêu rõ điều này. Các điều kiện hoàn tiền tiêu chuẩn được liệt kê trong câu trả lời hoàn toàn khớp với ngữ cảnh.",5,"Câu trả lời trực tiếp phủ nhận sự khác biệt trong quy trình hoàn tiền khẩn cấp cho khách hàng VIP và sau đó mô tả quy trình hoàn tiền tiêu chuẩn, điều này ngụ ý rằng quy trình này sẽ được áp dụng. Câu trả lời đầy đủ và đúng trọng tâm.",5,Retrieved: 1/1 expected sources,4,Model Answer thiếu thông tin về thời gian xử lý hoàn tiền tiêu chuẩn (3-5 ngày làm việc) được đề cập trong Expected Answer.,variant_hybrid_rerank
